,address,lat,long
300,강릉대로419번길 42,37.77435,128.90735
301,옥가로 30,37.7590068,128.8998047
302,"강원 고성군 간성읍 신안리 178 보건소, 가동 ",38.3774811,128.4721366
303,강원 동해시 천곡동 840 보건소 동해시보건소,37.5228115,129.1170347
304,동해시 하평로 26,37.5299417,129.1074625
305,동해시 하평로 11,37.5321225,129.106078
306,강원 삼척시 남양동 347-4,37.4437542,129.1723586
307,강원도 삼척시 오십천로 418,37.4403018,129.1638017
308,강원 속초시 교동 980(수복로 36),38.1961315,128.5759575
309,속초시 영랑호반길 3,38.2164607,128.5892485
310,속초시 중앙로 11 ,38.1980014,128.5783901
311,강원 양구군 양구읍 하리 34-5 양구군보건소,38.1099353,127.9900245
312,강원 양구군 양구읍 중심로 160 ,38.1046882,127.9911515
313,강원 양양군 양양읍 연창리 203-5 양양군보건소 양양군보건소,38.077839,128.627463
314,강원 영월군 영월읍 하송리 246 영월군 보건소 ,37.184193,128.4633772
315,강원 영월군 영월읍 중앙1로 59 영월의료원,37.1864525,128.4652388
316,강원 원주시 일산동 211,37.3515711,127.9468039
317,강원 원주시 일산로 20,37.3490013,127.9456639
318,강원 원주시 서원대로 387,37.332608,127.949225
319,강원 인제군 인제읍 남북리 789-1 ,38.0633988,128.1687419
320,강원 정선군 정선읍 녹송로 33,37.3800927,128.671486
321,강원도 정선군 정선읍 봉양1길 146,37.3830727,128.6587349
322,강원 철원군 갈말읍 군탄리 960-2,38.1482623,127.3029437
323,강원도 철원군 갈말읍 명성로 208,38.1504492,127.3079502
324,강원 춘천시 중앙로3가 67,37.8756162,127.7205333
325,강원도 춘천시 삭주로 77,37.8840791,127.7399592
326,강원 태백시 황지동 20-8,37.1765254,128.9924663
327,강원도 태백시 보드미길8,37.1040964,129.0043366
328,강원 홍천군 홍천읍 희망리 350 홍천군보건소,37.6900979,127.8768175
329,홍천군 산림공원 1길 17,37.6908303,127.8948538
330,강원 횡성군 횡성읍 읍하리 598 횡성보건소,37.4871949,127.9843852
331,강원도 횡성군 횡성읍 횡성로275,37.4784679,127.9799525
332,강원 평창군 평창읍 하리 233 평창군보건의료원,37.3690325,128.3907148
333,강원 화천군 화천읍 중리 242-4 ,38.107602,127.7091441
334,충북 괴산군 괴산읍 동부리 641 괴산군보건소,36.8079551,127.7963864
335,충북 괴산군 괴산읍 임꺽정로 116,36.8156252,127.7841803
336,충북 단양군 단양읍 상진리 84 단양군 보건소,36.9814764,128.3503288
337,충북 단양군 단양읍 별곡6길 10,36.9871156,128.3687759
338,충북 보은군 보은읍 삼산리 170-2,36.4866021,127.7161941
339,충북 보은군 보은읍 보은로 102,36.483269,127.7182031
340,충북 영동군 영동읍 매천리 444-1,36.1685541,127.7760688
341,충북 영동군 영동읍 대학로 106,36.1854437,127.7811202
342,충북 옥천군 옥천읍 삼양리 161-45 관공서(옥천군보건소) ,36.3042257,127.5701427
343,충북 옥천군 옥천읍 성왕로 1195,36.3133286,127.5720099
344,충북 음성군 음성읍 읍내리 406-4,36.9285339,127.6888304
345,음성군 금왕읍 음성로1230번길 10   ,36.9980558,127.5981525
346,충청북도 제천시 청전동 110,37.1489446,128.2158722
347,충청북도 제천시 숭문로 57,37.1387413,128.2064499
348,충북 제천시 내토로 991,37.1634606,128.2339398
349,충북 증평군 증평읍 내성리 57-2 증평군보건소,36.7743795,127.5866163
350,충북 진천군 진천읍 벽암리 570 진천군보건소 본관,36.8605604,127.4395344
351,진천읍 중앙북로 36,36.8584572,127.4405211
352,충북 청원군 남일면 효촌리 92-2,36.5897552,127.5051229
353,충청북도 청주시 상당구 단재로 106,36.6198446,127.4962643
354,충청북도 청주시 상당구 쇠내로 16,36.6243224,127.4956195
355,충북 청주시 흥덕구 비하동(강서제1동) 792 흥덕구 보건소 흥덕보건소,,
356,충북 청주시 흥덕구 2순환로 1262,36.6235392,127.4309913
357,충청북도 흥덕구 오송읍 오송생명1로 191,36.6364294,127.3216409
358,충북 청주시 서원구 사직동(사직1동) 888 서원구청 지하1층 서원보건소,,
359,충북 청주시 서원구 흥덕로 48,36.6400684,127.4730091
360,충북 충주시 문화동 1655 충주시 건강복지타운 충주시 보건소,36.9712506,127.9280275
361,충북 충주시 국원대로82,36.9793167,127.9290736
362,충북 충주시 안림로239-50,36.9793142,127.9704037
363,충청북도 청주시 청원구 오창읍 각리 639-1,36.7101019,127.4311354
364,청주시 청원구 주성로173-19,36.673536,127.4856059
365,충남 계룡시 금암동 10-5 계룡시보건소,36.2731625,127.2501583
366,충남 공주시 교동 120 보건소,36.4572337,127.1207767
367,충남 공주시 무령로 77,36.458987,127.1094762
368,충남 금산군 금산읍 중도리 203-1  금산군보건소,36.1129822,127.4914829
369,충남 논산시 관촉동(취암동) 327-2,,
370,충남 논산시 시민로294번길 14,36.192193,127.0944739
371,충청남도 당진시 채운동 1040,36.887355,126.629879
372,당진시 반촌로 5-15,36.9044521,126.6843802
373,충남 보령시 남포면 봉덕리 39-1 ,36.3243009,126.6019613
374,보령시 죽성로 136,36.3811282,126.6228522
375,충청남도 부여군 부여읍 구아리 137-2,36.2829068,126.9096121
376,부여군 부여읍 계백로 200,36.2755745,126.9017016
